t,u_model,u_observed,v,V_model,V,dVdt_model,dVdt,noise
0.992,0.7031669203687118,0.7004553042375075,0.26155684149597697,9.794133779236478,9.719004679288444,-0.4423198393652683,-70.46398176183105,-0.0027116161312043005
0.993,0.7034005342030908,0.7002682452534803,0.23361383437904382,9.793701678381137,9.706914373915264,-0.4321008553418437,-12.090305373179778,-0.0031322889496105317
0.994,0.7036062153677534,0.7018095717697345,0.20568116466258077,9.79327876144864,9.743436641849472,-0.42291693249651985,36.52226793420784,-0.0017966435980189333
0.995,0.7037839752956013,0.6865369445515167,0.17775992784800734,9.792863994138925,9.319539329212141,-0.41476730971545805,-423.89731263733097,-0.017247030744084593
0.996,0.7039338265138199,0.700602072147606,0.14985121821853922,9.7924563430747,9.70008536112115,-0.40765106422391284,380.5460319090092,-0.00333175436621386
0.997,0.7040557826426167,0.7038150058559992,0.12195612879684037,9.792054775962772,9.785363527553672,-0.4015671119290687,85.27816643252166,-0.0002407767866175342
0.998,0.7041498583939194,0.6944101878573229,0.09407575130275465,9.791658261754929,9.522780351204297,-0.396514207842813,-262.5831763493751,-0.009739670536596504
0.999,0.7042160695700306,0.7039758832975517,0.06621117611111843,9.791265770808437,9.784589410269891,-0.3924909464920745,261.80905906559434,-0.00024018627247885844
1.0,0.7042544330622402,0.7094096929422541,0.03836349220965575,9.79087627504607,9.934731798454315,-0.3894957623664652,150.1423881844238,0.005155259880013882
1.0010000000000001,0.7042649668493972,0.7026209499951812,0.01053378715695788,9.790488748115685,9.744833060408437,-0.38752693038546226,-189.89873804585685,-0.0016440168542160097
1.002,0.7042476899964377,0.7250139890757625,-0.017276852959451437,9.790102165549273,10.375971268598896,-0.386582566411775,631.1382081905282,0.020766299079324792
1.0030000000000001,0.7042026226528728,0.6781380764374249,-0.045067343564963246,9.789715504921546,9.078510172695674,-0.3866606277274087,-1297.4610959030763,-0.02606454621544797
1.004,0.7041297860512332,0.702066257517531,-0.07283660163964162,9.7893277460079,9.732049977320829,-0.3877589136465076,653.5398046252263,-0.002063528533702125
1.0050000000000001,0.7040292025054733,0.685775152708989,-0.10058354575989131,9.788937870941893,9.288162870187666,-0.3898750660056294,-443.88710713311326,-0.018254049796484272
1.006,0.7039008954093333,0.7137006095361452,-0.1283070961400332,9.788544864372069,10.062763719596715,-0.39300656982454996,774.6008494091346,0.009799714126811873
1.0070000000000001,0.7037448892346595,0.7302862473013645,-0.15600617467378594,9.788147713618194,10.539444382396992,-0.39715075387469767,476.68066280022356,0.026541358066705024
1.008,0.7035612095296838,0.6785411386388456,-0.18367970497565245,9.787745408826861,9.10515767176215,-0.4023047913328526,-1434.2867106349997,-0.025020070890838266
1.0090000000000001,0.7033498829172616,0.7046290838189877,-0.21132661242220918,9.78733694312639,9.822888994516122,-0.40846570047214925,717.7313227538914,0.0012792009017260201
1.01,0.7031109370930684,0.7083018388133839,-0.23894582419329718,9.786921312781095,9.931540724895163,-0.41563034529445986,108.65173037905282,0.005190901720315565
1.0110000000000001,0.7028444008237552,0.6998201715644856,-0.26653626931311314,9.786497517344792,9.702764203376972,-0.42379543630310934,-228.77652151816469,-0.0030242292592695466
1.012,0.702550303945064,0.7080667850370869,-0.29409687869119855,9.786064559813616,9.939668025934253,-0.4329575311761147,236.9038225573069,0.00551648109202287
1.0130000000000001,0.7022286773599007,0.6797989089167542,-0.3216265851633262,9.785621446778046,9.173734423198646,-0.4431130355690982,-765.933602735522,-0.022429768443146467
1.014,0.7018795530363684,0.7103998325408292,-0.3491243235322816,9.78516718857416,10.022689386222035,-0.4542582038862264,848.9549630234834,0.00852027950446081
1.0150000000000001,0.7015029640057598,0.7052228744665957,-0.37658903060853854,9.784700799434109,9.887993989938742,-0.46638914005114884,-134.695396283278,0.003719910460835912
1.016,0.701098944360509,0.7013272092737863,-0.40401964525082645,9.784221297635737,9.790540305622601,-0.47950179837208395,-97.45368431615205,0.00022826491327730832
1.0170000000000001,0.7006675292521024,0.6947917039316683,-0.4314151084065892,9.783727705651357,9.621876562559331,-0.4935919843802594,-168.66374306325116,-0.005875825320434092
1.018,0.7002087548889501,0.7065926957742954,-0.4587743631523324,9.783219050295687,9.960495646869111,-0.508655355670129,338.61908430981737,0.006383940885345349
1.0190000000000001,0.6997226585342162,0.6948687961544643,-0.48609635473385887,9.782694362872855,9.64907659897203,-0.5246874228319598,-311.419047897046,-0.004853862379751919
1.02,0.6992092785036098,0.7014405013125002,-0.5133800306063901,9.782152679322497,9.843840899369845,-0.5416835503577744,194.7643003978358,0.002231222808890469
1.0210000000000001,0.6986686541631353,0.6935677994058782,-0.5406243404745726,9.78159304036497,9.641413155327646,-0.5596389575277527,-202.427744042176,-0.005100854757257041
1.022,0.6981008259268029,0.6756326853418091,-0.5678282363323671,9.781014491645506,9.171759120795238,-0.5785487194636119,-469.6540345324591,-0.02246814058499382
1.0230000000000001,0.6975058352543001,0.697192706037592,-0.5949906725028197,9.780416083877506,9.771795559598592,-0.5984077679990207,600.0364388032867,-0.0003131292167081452
1.024,0.6968837246486224,0.6989055993314713,-0.6221106056777131,9.779796872984738,9.835503113186356,-0.6192108927685069,63.70755358777016,0.0020218746828489635
1.025,0.6962345376536653,0.7037783822471892,-0.6491869949570971,9.779155920242555,9.987631177182697,-0.6409527421826766,152.12806399635858,0.007543844593524018
1.026,0.6955583188517765,0.6867975014088274,-0.6762188018886952,9.778492292418095,9.53943928203773,-0.6636278244602778,-448.19189514491734,-0.008760817442949105
1.027,0.6948551138612694,0.6945242979021728,-0.7032049905071883,9.777805061909344,9.768732351423175,-0.6872305087508579,229.2930693854704,-0.00033081595909658176
1.028,0.694124969333896,0.7002964459130829,-0.7301445273733718,9.777093306883206,9.946961814067079,-0.7117550261384054,178.22946264388366,0.006171476579186898
1.029,0.6933679329522828,0.6948222483637418,-0.7570363816131858,9.776356111412397,9.816206936326775,-0.7371954708084161,-130.75487774031754,0.0014543154114590718
1.03,0.6925840534273262,0.7050087156723239,-0.7838795249566168,9.775592565611264,10.11835638829638,-0.7635458011332474,302.14945196957103,0.012424662244997726
1.031,0.6917733804955497,0.7116899052148257,-0.8106729317764698,9.774801765770421,10.326554325652026,-0.7907998408427375,208.19793735566867,0.01991652471927595
1.032,0.6909359649164227,0.6818496604294852,-0.8374155791270077,9.773982814490253,9.527764842319398,-0.8189512801681786,-798.7894833325389,-0.009086304486937534
1.033,0.6900718584696403,0.6708628378710889,-0.864106446782459,9.773134820813231,9.257108030056939,-0.8479936770218188,-270.65681226248864,-0.019209020598551334
1.034,0.6891811139523648,0.6977474230743332,-0.8907445172753907,9.772256900355002,10.00677564858024,-0.8779204582296529,749.6676185232168,0.008566309121968383
1.035,0.6882637851764298,0.7035582373693776,-0.9173287759349457,9.771348175434305,10.191539780381639,-0.908724920696713,184.76413180141984,0.015294452192947757
